MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,File Internal Path
991011565362904641,alma:01GCL_INST/bibs/991011565362904641; http://hdl.handle.net/11084/20660; grinnell:20660,In Repository,PHPP - Community Contributions,No,63/8B/96/01/73/0D/C4/FD/31/18/78/23/1C/EC/9B/E8/grinnell_20660_OBJ.pdf
991011565363004641,alma:01GCL_INST/bibs/991011565363004641; http://hdl.handle.net/11084/17380; grinnell:17380,In Repository,PHPP - Community Contributions,No,34/FE/45/9C/05/52/54/4B/10/CD/37/B4/46/91/07/97/grinnell_17380_OBJ.tiff
991011565363104641,alma:01GCL_INST/bibs/991011565363104641; http://hdl.handle.net/11084/20657; grinnell:20657,In Repository,PHPP - Community Contributions,No,DF/31/60/02/8B/C6/06/D8/AA/E6/79/6D/6C/96/1C/1B/grinnell_20657_OBJ.tiff
991011565363204641,alma:01GCL_INST/bibs/991011565363204641; http://hdl.handle.net/11084/17379; grinnell:17379,In Repository,PHPP - Community Contributions,No,AC/BE/6A/6E/37/AB/AF/95/94/48/3C/4F/48/F5/F9/A0/grinnell_17379_OBJ.tiff
991011565363304641,alma:01GCL_INST/bibs/991011565363304641; http://hdl.handle.net/11084/20654; grinnell:20654,In Repository,PHPP - Community Contributions,No,67/9C/C1/FE/89/ED/C2/BA/4C/5D/CB/21/7E/3F/4D/F4/grinnell_20654_OBJ.jpg
991011565363404641,alma:01GCL_INST/bibs/991011565363404641; http://hdl.handle.net/11084/17378; grinnell:17378,In Repository,PHPP - Community Contributions,No,20/55/E1/1C/43/72/23/60/B3/D3/CD/AC/C3/6A/A4/88/grinnell_17378_OBJ.tiff
991011565363504641,alma:01GCL_INST/bibs/991011565363504641; http://hdl.handle.net/11084/20653; grinnell:20653,In Repository,PHPP - Community Contributions,No,2E/73/27/5E/EF/19/38/6A/35/A3/A5/3D/A9/4C/D9/CD/grinnell_20653_OBJ.jpg
991011565363604641,alma:01GCL_INST/bibs/991011565363604641; http://hdl.handle.net/11084/17377; grinnell:17377,In Repository,PHPP - Community Contributions,No,CE/32/D7/F7/3F/71/86/8B/58/0E/FB/69/0D/E4/B4/81/grinnell_17377_OBJ.tiff
991011565363704641,alma:01GCL_INST/bibs/991011565363704641; http://hdl.handle.net/11084/20652; grinnell:20652,In Repository,PHPP - Community Contributions,No,17/97/D0/25/3F/C4/FA/89/21/00/E8/BE/F7/DA/1A/05/grinnell_20652_OBJ.jpg
991011565363804641,alma:01GCL_INST/bibs/991011565363804641; http://hdl.handle.net/11084/17370; grinnell:17370,In Repository,PHPP - Community Contributions,No,7A/89/4C/8A/33/A8/D3/E4/B5/0D/87/08/D2/CF/B0/1D/grinnell_17370_OBJ.tiff
991011565363904641,alma:01GCL_INST/bibs/991011565363904641; http://hdl.handle.net/11084/20651; grinnell:20651,In Repository,PHPP - Community Contributions,No,3E/EA/C1/4E/5F/B8/8D/55/15/F2/7A/00/4A/26/AD/84/grinnell_20651_OBJ.jpg
991011565364004641,alma:01GCL_INST/bibs/991011565364004641; http://hdl.handle.net/11084/17369; grinnell:17369,In Repository,PHPP - Community Contributions,No,64/C2/67/61/18/5D/E9/FA/4A/0B/31/38/FD/AC/2E/6D/grinnell_17369_OBJ.tiff
991011565364104641,alma:01GCL_INST/bibs/991011565364104641; http://hdl.handle.net/11084/17368; grinnell:17368,In Repository,PHPP - Community Contributions,No,38/5B/EC/B7/27/C3/35/21/72/94/16/31/35/7B/68/32/grinnell_17368_OBJ.tiff
991011565364204641,alma:01GCL_INST/bibs/991011565364204641; http://hdl.handle.net/11084/20650; grinnell:20650,In Repository,PHPP - Community Contributions,No,CB/C6/0E/36/08/6E/D7/BD/20/A1/66/61/A8/6B/D0/BC/grinnell_20650_OBJ.jpg
991011565364304641,alma:01GCL_INST/bibs/991011565364304641; http://hdl.handle.net/11084/17367; grinnell:17367,In Repository,PHPP - Community Contributions,No,D0/D1/7B/04/A9/84/47/02/8F/86/B7/1C/4E/2E/92/F6/grinnell_17367_OBJ.pdf
991011565364404641,alma:01GCL_INST/bibs/991011565364404641; http://hdl.handle.net/11084/20649; grinnell:20649,In Repository,PHPP - Community Contributions,No,12/48/3F/4B/76/A6/2F/3D/CE/7A/9B/A7/1B/4A/86/06/grinnell_20649_OBJ.jpg
991011565364504641,alma:01GCL_INST/bibs/991011565364504641; http://hdl.handle.net/11084/20648; grinnell:20648,In Repository,PHPP - Community Contributions,No,B9/1E/45/44/D9/B3/84/85/33/2E/19/57/8F/B1/FC/89/grinnell_20648_OBJ.jpg
991011565364604641,alma:01GCL_INST/bibs/991011565364604641; http://hdl.handle.net/11084/17366; grinnell:17366,In Repository,PHPP - Community Contributions,No,B3/B5/8D/FB/D0/47/31/01/8E/52/7A/11/61/CD/81/DC/grinnell_17366_OBJ.pdf
991011565364704641,alma:01GCL_INST/bibs/991011565364704641; http://hdl.handle.net/11084/17362; grinnell:17362,In Repository,PHPP - Community Contributions,No,29/2C/5D/6F/12/14/EE/EB/F9/8E/26/FB/08/C0/FB/8E/grinnell_17362_OBJ.tiff
991011565364804641,alma:01GCL_INST/bibs/991011565364804641; http://hdl.handle.net/11084/20647; grinnell:20647,In Repository,PHPP - Community Contributions,No,05/5C/32/0C/81/70/F5/D6/48/72/8C/A2/6D/4E/C9/85/grinnell_20647_OBJ.jpg
991011565364904641,alma:01GCL_INST/bibs/991011565364904641; http://hdl.handle.net/11084/20646; grinnell:20646,In Repository,PHPP - Community Contributions,No,A9/15/4A/79/E1/89/03/CC/AA/55/59/7B/6D/0C/FD/30/grinnell_20646_OBJ.jpg
991011565365004641,alma:01GCL_INST/bibs/991011565365004641; http://hdl.handle.net/11084/17361; grinnell:17361,In Repository,PHPP - Community Contributions,No,C0/93/72/AA/25/29/5A/64/8C/8B/E3/3F/2A/FC/E5/2B/grinnell_17361_OBJ.tiff
991011565365104641,alma:01GCL_INST/bibs/991011565365104641; http://hdl.handle.net/11084/20645; grinnell:20645,In Repository,PHPP - Community Contributions,No,B1/B5/48/7C/5B/8D/E6/1A/82/03/E3/6B/B6/01/37/91/grinnell_20645_OBJ.jpg
